Freq.	V(vout)
1.59220872705115e-07	(-4.39733324748310e-13dB,-1.82276055072810e-05°)
1.59587914723672e-07	(-4.40697652214863e-13dB,-1.82696244775653e-05°)
1.59955802861465e-07	(-4.44554962081077e-13dB,-1.83117403115799e-05°)
1.60324539069002e-07	(-4.46483617014183e-13dB,-1.83539532326188e-05°)
1.60694125301286e-07	(-4.49376599413843e-13dB,-1.83962634644906e-05°)
1.61064563517825e-07	(-4.49376599413843e-13dB,-1.84386712315200e-05°)
1.61435855682647e-07	(-4.51305254346950e-13dB,-1.84811767585488e-05°)
1.61808003764305e-07	(-4.55162564213163e-13dB,-1.85237802709370e-05°)
1.62181009735891e-07	(-4.56126891679717e-13dB,-1.85664819945642e-05°)
1.62554875575047e-07	(-4.59019874079377e-13dB,-1.86092821558307e-05°)
1.62929603263970e-07	(-4.60948529012483e-13dB,-1.86521809816587e-05°)
1.63305194789432e-07	(-4.62877183945590e-13dB,-1.86951786994935e-05°)
1.63681652142779e-07	(-4.64805838878697e-13dB,-1.87382755373047e-05°)
1.64058977319952e-07	(-4.66734493811804e-13dB,-1.87814717235874e-05°)
1.64437172321491e-07	(-4.68663148744910e-13dB,-1.88247674873636e-05°)
1.64816239152549e-07	(-4.71556131144570e-13dB,-1.88681630581831e-05°)
1.65196179822900e-07	(-4.73484786077677e-13dB,-1.89116586661249e-05°)
1.65576996346951e-07	(-4.75413441010784e-13dB,-1.89552545417982e-05°)
1.65958690743754e-07	(-4.77342095943890e-13dB,-1.89989509163443e-05°)
1.66341265037015e-07	(-4.80235078343550e-13dB,-1.90427480214368e-05°)
1.66724721255104e-07	(-4.81199405810104e-13dB,-1.90866460892836e-05°)
1.67109061431069e-07	(-4.85056715676317e-13dB,-1.91306453526280e-05°)
1.67494287602642e-07	(-4.86985370609424e-13dB,-1.91747460447497e-05°)
1.67880401812254e-07	(-4.89878353009084e-13dB,-1.92189483994661e-05°)
1.68267406107045e-07	(-4.90842680475637e-13dB,-1.92632526511338e-05°)
1.68655302538872e-07	(-4.93735662875297e-13dB,-1.93076590346493e-05°)
1.69044093164324e-07	(-4.94699990341850e-13dB,-1.93521677854511e-05°)
1.69433780044731e-07	(-4.98557300208064e-13dB,-1.93967791395200e-05°)
1.69824365246172e-07	(-5.00485955141170e-13dB,-1.94414933333811e-05°)
1.70215850839493e-07	(-5.03378937540830e-13dB,-1.94863106041044e-05°)
1.70608238900310e-07	(-5.05307592473937e-13dB,-1.95312311893068e-05°)
1.71001531509027e-07	(-5.08200574873597e-13dB,-1.95762553271526e-05°)
1.71395730750840e-07	(-5.09164902340151e-13dB,-1.96213832563554e-05°)
1.71790838715757e-07	(-5.12057884739811e-13dB,-1.96666152161790e-05°)
1.72186857498599e-07	(-5.13986539672917e-13dB,-1.97119514464388e-05°)
1.72583789199018e-07	(-5.16879522072577e-13dB,-1.97573921875028e-05°)
1.72981635921508e-07	(-5.17843849539131e-13dB,-1.98029376802934e-05°)
1.73380399775412e-07	(-5.21701159405344e-13dB,-1.98485881662883e-05°)
1.73780082874935e-07	(-5.23629814338451e-13dB,-1.98943438875218e-05°)
1.74180687339159e-07	(-5.26522796738111e-13dB,-1.99402050865861e-05°)
1.74582215292048e-07	(-5.27487124204664e-13dB,-1.99861720066329e-05°)
1.74984668862463e-07	(-5.32308761537431e-13dB,-2.00322448913740e-05°)
1.75388050184174e-07	(-5.34237416470537e-13dB,-2.00784239850834e-05°)
1.75792361395867e-07	(-5.36166071403644e-13dB,-2.01247095325980e-05°)
1.76197604641161e-07	(-5.39059053803304e-13dB,-2.01711017793192e-05°)
1.76603782068614e-07	(-5.40023381269858e-13dB,-2.02176009712141e-05°)
1.77010895831740e-07	(-5.42916363669518e-13dB,-2.02642073548167e-05°)
1.77418948089014e-07	(-5.45809346069178e-13dB,-2.03109211772295e-05°)
1.77827941003890e-07	(-5.48702328468838e-13dB,-2.03577426861245e-05°)
1.78237876744807e-07	(-5.52559638335051e-13dB,-2.04046721297446e-05°)
1.78648757485203e-07	(-5.52559638335051e-13dB,-2.04517097569051e-05°)
1.79060585403527e-07	(-5.57381275667818e-13dB,-2.04988558169949e-05°)
1.79473362683250e-07	(-5.58345603134371e-13dB,-2.05461105599776e-05°)
1.79887091512876e-07	(-5.61238585534031e-13dB,-2.05934742363932e-05°)
1.80301774085954e-07	(-5.63167240467138e-13dB,-2.06409470973592e-05°)
1.80717412601090e-07	(-5.67024550333351e-13dB,-2.06885293945719e-05°)
1.81134009261958e-07	(-5.67988877799905e-13dB,-2.07362213803080e-05°)
1.81551566277311e-07	(-5.71846187666118e-13dB,-2.07840233074257e-05°)
1.81970085860996e-07	(-5.74739170065778e-13dB,-2.08319354293659e-05°)
1.82389570231961e-07	(-5.76667824998885e-13dB,-2.08799580001540e-05°)
1.82810021614272e-07	(-5.80525134865098e-13dB,-2.09280912744009e-05°)
1.83231442237119e-07	(-5.81489462331652e-13dB,-2.09763355073044e-05°)
1.83653834334832e-07	(-5.85346772197865e-13dB,-2.10246909546506e-05°)
1.84077200146893e-07	(-5.89204082064078e-13dB,-2.10731578728154e-05°)
1.84501541917945e-07	(-5.89204082064078e-13dB,-2.11217365187654e-05°)
1.84926861897805e-07	(-5.93061391930292e-13dB,-2.11704271500598e-05°)
1.85353162341478e-07	(-5.97883029263059e-13dB,-2.12192300248515e-05°)
1.85780445509167e-07	(-5.98847356729612e-13dB,-2.12681454018885e-05°)
1.86208713666284e-07	(-6.01740339129272e-13dB,-2.13171735405152e-05°)
1.86637969083464e-07	(-6.03668994062379e-13dB,-2.13663147006740e-05°)
1.87068214036577e-07	(-6.07526303928592e-13dB,-2.14155691429064e-05°)
1.87499450806739e-07	(-6.08490631395145e-13dB,-2.14649371283545e-05°)
1.87931681680324e-07	(-6.11383613794806e-13dB,-2.15144189187625e-05°)
1.88364908948977e-07	(-6.15240923661019e-13dB,-2.15640147764779e-05°)
1.88799134909627e-07	(-6.17169578594126e-13dB,-2.16137249644530e-05°)
1.89234361864495e-07	(-6.21026888460339e-13dB,-2.16635497462463e-05°)
1.89670592121112e-07	(-6.23919870859999e-13dB,-2.17134893860238e-05°)
1.90107827992327e-07	(-6.25848525793106e-13dB,-2.17635441485606e-05°)
1.90546071796322e-07	(-6.29705835659319e-13dB,-2.18137142992419e-05°)
1.90985325856621e-07	(-6.33563145525533e-13dB,-2.18640001040649e-05°)
1.91425592502106e-07	(-6.35491800458639e-13dB,-2.19144018296400e-05°)
1.91866874067026e-07	(-6.38384782858300e-13dB,-2.19649197431921e-05°)
1.92309172891013e-07	(-6.42242092724513e-13dB,-2.20155541125621e-05°)
1.92752491319091e-07	(-6.44170747657620e-13dB,-2.20663052062084e-05°)
1.93196831701689e-07	(-6.48028057523833e-13dB,-2.21171732932083e-05°)
1.93642196394658e-07	(-6.50921039923493e-13dB,-2.21681586432593e-05°)
1.94088587759275e-07	(-6.53814022323153e-13dB,-2.22192615266807e-05°)
1.94536008162263e-07	(-6.56707004722813e-13dB,-2.22704822144148e-05°)
1.94984459975802e-07	(-6.60564314589027e-13dB,-2.23218209780286e-05°)
1.95433945577536e-07	(-6.62492969522133e-13dB,-2.23732780897152e-05°)
1.95884467350596e-07	(-6.64421624455240e-13dB,-2.24248538222951e-05°)
1.96336027683602e-07	(-6.68278934321454e-13dB,-2.24765484492176e-05°)
1.96788628970681e-07	(-6.72136244187667e-13dB,-2.25283622445624e-05°)
1.97242273611482e-07	(-6.75029226587327e-13dB,-2.25802954830413e-05°)
1.97696964011183e-07	(-6.78886536453541e-13dB,-2.26323484399990e-05°)
1.98152702580507e-07	(-6.79850863920094e-13dB,-2.26845213914152e-05°)
1.98609491735734e-07	(-6.84672501252861e-13dB,-2.27368146139056e-05°)
1.99067333898715e-07	(-6.87565483652521e-13dB,-2.27892283847237e-05°)
1.99526231496885e-07	(-6.90458466052181e-13dB,-2.28417629817621e-05°)
1.99986186963271e-07	(-6.93351448451841e-13dB,-2.28944186835541e-05°)
2.00447202736513e-07	(-6.97208758318055e-13dB,-2.29471957692748e-05°)
2.00909281260870e-07	(-7.01066068184268e-13dB,-2.30000945187431e-05°)
2.01372424986236e-07	(-7.02994723117375e-13dB,-2.30531152124230e-05°)
2.01836636368153e-07	(-7.06852032983588e-13dB,-2.31062581314249e-05°)
2.02301917867824e-07	(-7.08780687916695e-13dB,-2.31595235575072e-05°)
2.02768271952125e-07	(-7.13602325249462e-13dB,-2.32129117730780e-05°)
2.03235701093619e-07	(-7.15530980182568e-13dB,-2.32664230611962e-05°)
2.03704207770568e-07	(-7.19388290048782e-13dB,-2.33200577055734e-05°)
2.04173794466950e-07	(-7.23245599914995e-13dB,-2.33738159905751e-05°)
2.04644463672464e-07	(-7.27102909781209e-13dB,-2.34276982012224e-05°)
2.05116217882553e-07	(-7.29031564714316e-13dB,-2.34817046231934e-05°)
2.05589059598411e-07	(-7.32888874580529e-13dB,-2.35358355428247e-05°)
2.06062991326997e-07	(-7.37710511913296e-13dB,-2.35900912471132e-05°)
2.06538015581049e-07	(-7.39639166846403e-13dB,-2.36444720237172e-05°)
