frequency,magnitude,phase
1.58489319246017e+04,-2.99926801921483e+01,8.81862998593734e+01
1.69044093164225e+04,-2.94322322038304e+01,8.80653725029819e+01
1.80301774085849e+04,-2.88719935447251e+01,8.79364252921312e+01
1.92309172890900e+04,-2.83119601613138e+01,8.77989272834563e+01
2.05116217882433e+04,-2.77521314142738e+01,8.76523130922557e+01
2.18776162394823e+04,-2.71925100622877e+01,8.74959807780514e+01
2.33345806227959e+04,-2.66331023017660e+01,8.73292896281310e+01
2.48885731828088e+04,-2.60739178628606e+01,8.71515578403847e+01
2.65460556197392e+04,-2.55149701627669e+01,8.69620601084365e+01
2.83139199579765e+04,-2.49562765184139e+01,8.67600251143432e+01
3.01995172040017e+04,-2.43978584212216e+01,8.65446329368034e+01
3.22106879128146e+04,-2.38397418778543e+01,8.63150123863569e+01
3.43557947899663e+04,-2.32819578212301e+01,8.60702382830653e+01
3.66437574647607e+04,-2.27245425974444e+01,8.58093286974804e+01
3.90840895792160e+04,-2.21675385347500e+01,8.55312421818171e+01
4.16869383470077e+04,-2.16109946017670e+01,8.52348750258587e+01
4.44631267468832e+04,-2.10549671629721e+01,8.49190585812591e+01
4.74241985259949e+04,-2.04995208400161e+01,8.45825567086508e+01
5.05824662002798e+04,-1.99447294884899e+01,8.42240634151282e+01
5.39510622514790e+04,-1.93906773001642e+01,8.38422007649753e+01
5.75439937336796e+04,-1.88374600408737e+01,8.34355171644029e+01
6.13762005164408e+04,-1.82851864345939e+01,8.30024861422871e+01
6.54636174066862e+04,-1.77339797041775e+01,8.25415057734944e+01
6.98232404076730e+04,-1.71839792771519e+01,8.20508989182952e+01
7.44731973905517e+04,-1.66353426656746e+01,8.15289144847233e+01
7.94328234723777e+04,-1.60882475244262e+01,8.09737299535759e+01
8.47227414140057e+04,-1.55428938892873e+01,8.03834554465346e+01
9.03649473721725e+04,-1.49995065929769e+01,7.97561396578295e+01
9.63829023623354e+04,-1.44583378467934e+01,7.90897780122249e+01
1.02801629812581e+05,-1.39196699699731e+01,7.83823234560901e+01
1.09647819614248e+05,-1.33838182347419e+01,7.76317003256041e+01
1.16949939101912e+05,-1.28511337819979e+01,7.68358217701049e+01
1.24738351424214e+05,-1.23220065431431e+01,7.59926112265802e+01
1.33045441797723e+05,-1.17968680852083e+01,7.51000284468518e+01
1.41905752168817e+05,-1.12761942648970e+01,7.41561005418685e+01
1.51356124843522e+05,-1.07605075612414e+01,7.31589584631674e+01
1.61435855682543e+05,-1.02503789097077e+01,7.21068792001445e+01
1.72186857498488e+05,-9.74642884483477e+00,7.09983338225300e+01
1.83653834334714e+05,-9.24932772055702e+00,6.98320412357317e+01
1.95884467350470e+05,-8.75979475172934e+00,6.86070271819891e+01
2.08929613085267e+05,-8.27859560722479e+00,6.73226876063529e+01
2.22843514926884e+05,-7.80653828240786e+00,6.59788550021440e+01
2.37684028662331e+05,-7.34446698915726e+00,6.45758657546298e+01
2.53512863049623e+05,-6.89325386146480e+00,6.31146259323875e+01
2.70395836410705e+05,-6.45378832599344e+00,6.15966723046860e+01
2.88403150312469e+05,-6.02696411615886e+00,6.00242248901983e+01
3.07609681473866e+05,-5.61366404281509e+00,5.84002269525391e+01
3.28095293112900e+05,-5.21474280581838e+00,5.67283682371732e+01
3.49945167028123e+05,-4.83100832659085e+00,5.50130874910535e+01
3.73250157795470e+05,-4.46320227231120e+00,5.32595509431459e+01
3.98107170553230e+05,-4.11198060915630e+00,5.14736044812286e+01
4.24619563946027e+05,-3.77789515866123e+00,4.96616988010670e+01
4.52897579903315e+05,-3.46137717748851e+00,4.78307885678633e+01
4.83058802039446e+05,-3.16272394730103e+00,4.59882085670492e+01
5.15228644581407e+05,-2.88208923739273e+00,4.41415317271296e+01
5.49540873857251e+05,-2.61947827460318e+00,4.22984154270647e+01
5.86138164513629e+05,-2.37474757591742e+00,4.04664436472893e+01
6.25172692775259e+05,-2.14760963695407e+00,3.86529727097212e+01
6.66806769213166e+05,-1.93764216831743e+00,3.68649882335488e+01
7.11213513652841e+05,-1.74430126896926e+00,3.51089799275073e+01
7.58577575028662e+05,-1.56693765441570e+00,3.33908389052976e+01
8.09095899177825e+05,-1.40481499706204e+00,3.17157809907118e+01
8.62978547766375e+05,-1.25712933512381e+00,3.00882970426658e+01
9.20449571752534e+05,-1.12302857033544e+00,2.85121295864524e+01
9.81747943019304e+05,-1.00163122218954e+00,2.69902738200314e+01
1.04712854805017e+06,-8.92043724637490e-01,2.55249993764930e+01
1.11686324777978e+06,-7.93375821373193e-01,2.41178894987641e+01
1.19124200802654e+06,-7.04753693617498e-01,2.27698925769207e+01
1.27057410520765e+06,-6.25330771055403e-01,2.14813829716857e+01
1.35518941235009e+06,-5.54296175900106e-01,2.02522263957739e+01
1.44543977074491e+06,-4.90880977806987e-01,1.90818472697844e+01
1.54170045294847e+06,-4.34362454340113e-01,1.79692952574858e+01
1.64437172321377e+06,-3.84066605311667e-01,1.69133088615802e+01
1.75388050184052e+06,-3.39369201784996e-01,1.59123747886150e+01
1.87068214036448e+06,-2.99695636959647e-01,1.49647820830714e+01
1.99526231496746e+06,-2.64519832695746e-01,1.40686704640583e+01
2.12813904598120e+06,-2.33362454296783e-01,1.32220732647950e+01
2.26986485188220e+06,-2.05788589412598e-01,1.24229539278551e+01
2.42102904673445e+06,-1.81405109758934e-01,1.16692375240432e+01
2.58226019063275e+06,-1.59857834211979e-01,1.09588372317518e+01
2.75422870333619e+06,-1.40828605502166e-01,1.02896762631136e+01
2.93764965195942e+06,-1.24032343813852e-01,9.65970483932153e+00
3.13328572431333e+06,-1.09214215339187e-01,9.06691532354003e+00
3.34195040025873e+06,-9.61468623502545e-02,8.50935245915305e+00
3.56451133425986e+06,-8.46278025946206e-02,7.98512179972624e+00
3.80189396320286e+06,-7.44769946261809e-02,7.49239604196615e+00
4.05508535448089e+06,-6.55345726494060e-02,7.02941930890258e+00
4.32513831034694e+06,-5.76587477115065e-02,6.59450921908829e+00
4.61317574560043e+06,-5.07239009936658e-02,6.18605838008591e+00
4.92039535681091e+06,-4.46188591877050e-02,5.80253563299275e+00
5.24807460249388e+06,-3.92452928491103e-02,5.44248406596934e+00
5.59757601494700e+06,-3.45163102082342e-02,5.10452082784646e+00
5.97035286583398e+06,-3.03551688066611e-02,4.78733489591800e+00
6.36795520907447e+06,-2.66941375979295e-02,4.48968576782235e+00
6.79203632616683e+06,-2.34734598449822e-02,4.21040037785681e+00
7.24435960074454e+06,-2.06404363397755e-02,3.94837044317166e+00
7.72680585095130e+06,-1.81486193020657e-02,3.70255073913079e+00
8.24138115012390e+06,-1.59570715331727e-02,3.47195497592705e+00
8.79022516830230e+06,-1.40297395928331e-02,3.25565484995572e+00
9.37562006925181e+06,-1.23348665226149e-02,3.05277575673878e+00
1.00000000000000e+07,-1.08444865943164e-02,2.86249407257080e+00
1.00000000000000e+07,-1.08444865943164e-02,2.86249407257080e+00
